,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Miami Heat,2017-2018,Justise Winslow,6-7,225,"March 26, 1996",2,Duke University
1,Miami Heat,2017-2018,Goran Dragic,6-3,190,"May 6, 1986",9,
2,Miami Heat,2017-2018,Josh Richardson,6-6,200,"September 15, 1993",2,University of Tennessee
3,Miami Heat,2017-2018,Tyler Johnson,6-4,186,"May 7, 1992",3,"California State University, Fresno"
4,Miami Heat,2017-2018,A.J. Hammons,7-0,260,"August 27, 1992",1,Purdue University
5,Miami Heat,2017-2018,Hassan Whiteside,7-0,265,"June 13, 1989",5,Marshall University
6,Miami Heat,2017-2018,Wayne Ellington,6-4,200,"October 29, 1987",8,University of North Carolina
7,Miami Heat,2017-2018,Rodney McGruder,6-4,205,"July 29, 1991",1,Kansas State University
8,Miami Heat,2017-2018,Okaro White,6-8,204,"August 13, 1992",1,Florida State University
9,Miami Heat,2017-2018,Bam Adebayo,6-10,243,"July 18, 1997",0,University of Kentucky
10,Miami Heat,2017-2018,Udonis Haslem,6-8,235,"June 9, 1980",14,University of Florida
11,Miami Heat,2017-2018,James Johnson,6-9,250,"February 20, 1987",8,Wake Forest University
12,Miami Heat,2017-2018,Dion Waiters,6-4,225,"December 10, 1991",5,Syracuse University
13,Miami Heat,2017-2018,Kelly Olynyk,7-0,238,"April 19, 1991",4,Gonzaga University
14,Miami Heat,2017-2018,Jordan Mickey,6-8,235,"July 9, 1994",2,Louisiana State University
15,Miami Heat,2017-2018,Matt Williams  (TW),6-5,210,"October 14, 1993",0,University of Central Florida
16,Miami Heat,2017-2018,Derrick Walton  (TW),6-1,189,"April 3, 1995",0,University of Michigan
