,Team,Name,Height,Weight,Birthdate,Experience,College
0,Miami Heat,Chris Andersen,6-10,245,"July 7, 1978",13,Blinn College
1,Miami Heat,Chris Bosh,6-11,235,"March 24, 1984",12,Georgia Institute of Technology
2,Miami Heat,Mario Chalmers,6-2,190,"May 19, 1986",7,University of Kansas
3,Miami Heat,Luol Deng,6-9,220,"April 16, 1985",11,Duke University
4,Miami Heat,Goran Dragic,6-3,190,"May 6, 1986",7,
5,Miami Heat,James Ennis,6-7,210,"July 1, 1990",1,"California State University, Long Beach"
6,Miami Heat,Gerald Green,6-7,205,"January 26, 1986",8,
7,Miami Heat,Udonis Haslem,6-8,235,"June 9, 1980",12,University of Florida
8,Miami Heat,Joe Johnson,6-7,240,"June 29, 1981",14,University of Arkansas
9,Miami Heat,Tyler Johnson,6-4,186,"May 7, 1992",1,"California State University, Fresno"
10,Miami Heat,Josh McRoberts,6-10,240,"February 28, 1987",8,Duke University
11,Miami Heat,Josh Richardson,6-6,200,"September 15, 1993",0,University of Tennessee
12,Miami Heat,Jarnell Stokes,6-9,263,"January 7, 1994",1,University of Tennessee
13,Miami Heat,Amar'e Stoudemire,6-10,245,"November 16, 1982",13,
14,Miami Heat,Beno Udrih,6-3,205,"July 5, 1982",11,
15,Miami Heat,Dwyane Wade,6-4,220,"January 17, 1982",12,Marquette University
16,Miami Heat,Briante Weber,6-2,165,"December 29, 1992",0,Virginia Commonwealth University
17,Miami Heat,Hassan Whiteside,7-0,265,"June 13, 1989",3,Marshall University
18,Miami Heat,Justise Winslow,6-7,225,"March 26, 1996",0,Duke University
