,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Cleveland Cavaliers,2014-2015,Lou Amundson,6-9,220,"December 7, 1982",8,"University of Nevada, Las Vegas"
1,Cleveland Cavaliers,2014-2015,Will Cherry,6-0,185,"February 8, 1991",0,University of Montana
2,Cleveland Cavaliers,2014-2015,Matthew Dellavedova,6-4,198,"September 8, 1990",1,Saint Mary's College of California
3,Cleveland Cavaliers,2014-2015,Joe Harris,6-6,219,"September 6, 1991",0,University of Virginia
4,Cleveland Cavaliers,2014-2015,Brendan Haywood,7-0,268,"November 27, 1979",12,University of North Carolina
5,Cleveland Cavaliers,2014-2015,Kyrie Irving,6-3,193,"March 23, 1992",3,Duke University
6,Cleveland Cavaliers,2014-2015,LeBron James,6-8,250,"December 30, 1984",11,
7,Cleveland Cavaliers,2014-2015,James Jones,6-8,218,"October 4, 1980",11,University of Miami
8,Cleveland Cavaliers,2014-2015,Alex Kirk,7-0,245,"November 14, 1991",0,University of New Mexico
9,Cleveland Cavaliers,2014-2015,Kevin Love,6-10,251,"September 7, 1988",6,"University of California, Los Angeles"
10,Cleveland Cavaliers,2014-2015,Shawn Marion,6-7,220,"May 7, 1978",15,"University of Nevada, Las Vegas"
11,Cleveland Cavaliers,2014-2015,Mike Miller,6-8,218,"February 19, 1980",14,University of Florida
12,Cleveland Cavaliers,2014-2015,Timofey Mozgov,7-1,275,"July 16, 1986",4,
13,Cleveland Cavaliers,2014-2015,Kendrick Perkins,6-10,270,"November 10, 1984",11,
14,Cleveland Cavaliers,2014-2015,A.J. Price,6-2,181,"October 7, 1986",5,University of Connecticut
15,Cleveland Cavaliers,2014-2015,Iman Shumpert,6-5,220,"June 26, 1990",3,Georgia Institute of Technology
16,Cleveland Cavaliers,2014-2015,J.R. Smith,6-6,225,"September 9, 1985",10,
17,Cleveland Cavaliers,2014-2015,Tristan Thompson,6-9,238,"March 13, 1991",3,University of Texas at Austin
18,Cleveland Cavaliers,2014-2015,Anderson Varejao,6-10,273,"September 28, 1982",10,
19,Cleveland Cavaliers,2014-2015,Dion Waiters,6-4,225,"December 10, 1991",2,Syracuse University
